Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250050-València - Bulevard Sud
	
FECHA	SO2	NO	NO2	PM10	Ni	NOx	O3	As	Pb	BaP	Cd	FA	DahA	IcdP	BkFA	BjFA	BbFA	BaA
	µg/m³	µg/m³	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³	ng/m³N	µg/m³	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N
05/04/2025	3			13	5,11		54	0,14	0,01		0,01							
06/04/2025	3			18			53											
07/04/2025	3			27														
08/04/2025	3			31						0,04		0,04	0,04	0,09	0,04	0,04	0,1	0,04
09/04/2025	3	7	17	33	3,17	27	70	0,42	0,01		0,11							
10/04/2025	3	4	17	27		23	71											
11/04/2025	3	2	11	27	1,78	15	81	0,42	0,01		0,08							
12/04/2025	3	2	16	29		18	55											
13/04/2025	3	4	16	30	3,58	21	52	0,56	0,01		0,1							
14/04/2025	3	6	21	30		31	60											
15/04/2025	3	1	5	14	0,17	5	82	0,14	0,01		0,01							
16/04/2025	3	2	8	13		10	78			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
17/04/2025	3	2	11	19	0,86	13	75	0,14	0,01		0,04							
18/04/2025	3	1	14	17	1,28	15	57	0,14	0,01		0,04							
19/04/2025	3	1	6	10	0,17	6	75	0,05	0,01		0,01							
20/04/2025	3	1	10	9		10	75											
21/04/2025	3	1	7	13	1	7	70	0,14	0,01		0,03							
22/04/2025	3	10	24	19		39	42											
23/04/2025	3	6	16	21	1,14	24	55	0,42	0,01		0,06							
24/04/2025	3	8	19	30		30	54			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
25/04/2025	3	11	21			37	56											
26/04/2025	3	3	17	22		20	55											
27/04/2025	3	1	6			7	81											
28/04/2025	3	2	16			18												
29/04/2025	3	5	14			22												
30/04/2025	3	2	8	33		10	74											
01/05/2025	3	1	5			5	82											
02/05/2025	3	1	8	34		9	79			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
05/05/2025	4	2	12			14	62											
06/05/2025	3	2	9	20		11	82											
07/05/2025	4	3	14			17	78											
08/05/2025	3	3	21	24		25	54											
09/05/2025	4	6	17			25	50											
10/05/2025	4	1	9	23		10	62			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
11/05/2025	3	1	6			6	63											
12/05/2025	3	4	15	27		20	63											
13/05/2025	3	5	17			23	64											
14/05/2025	3	2	9	23		12	69			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
15/05/2025	3	6	15			23	53											
16/05/2025	3	3	18	24		21	63											
17/05/2025	4	2	11			13	73											
18/05/2025	4	1	9	24		10	76			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
19/05/2025	4	4	17			21	62											
20/05/2025	4	2	15			17	77											
21/05/2025	4	4	20			25	64											
22/05/2025	4	3	13	25		17	63			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
23/05/2025	4	4	13			18	62											
24/05/2025	5	2	13	21		16	57											
25/05/2025	4	1	11			12	74											
26/05/2025	5	8	18	27		30	63			0,04		0,08	0,04	0,08	0,04	0,04	0,1	0,04
27/05/2025	5	6	25			35	51											
28/05/2025	5	5	23			30	47											
29/05/2025	5	9	28			42	50											
30/05/2025	5	4	22	35		28	58											
31/05/2025	5	1	14			15	62											
01/06/2025	5	1	11	31		12	69											
02/06/2025	5	2	12			14	67											
03/06/2025	5	3	22	33		26	50			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
04/06/2025	5	2	15			17	66											
05/06/2025	5	7	24	45		35	63											
06/06/2025	5	3	17			21	63											
07/06/2025	5	1	14			15	62											
08/06/2025	5	1	7			7	60											
09/06/2025	5	1	14			15	49											
10/06/2025	5	3	22			26	51											
11/06/2025	5	3	30			35	51											
12/06/2025	6	3	20			24	65											
13/06/2025	6	2	14	43		17	69											
14/06/2025	6	1	10			12	81											
15/06/2025	6	1	6			7	74											
16/06/2025	5	4	17			23	51											
17/06/2025	5	4	18			23	58											
18/06/2025	5	2	18			21	59											
19/06/2025	5	5	20			26	58											
20/06/2025	6	4	18			23	65											
21/06/2025	5	2	13			15	69											
22/06/2025	6	1	8			9	79											
23/06/2025	5	2	16			18	66											
24/06/2025	6	3	19			24	63											
25/06/2025	5	3	29			34	55											
26/06/2025	6	4	21			27	57											
27/06/2025	6	3	18			22	62											
28/06/2025	6	2	20			23	66											
29/06/2025	6	1	18			20	67											
30/06/2025	4	3	23			26	63											
01/07/2025	3	6	27			36	57											
02/07/2025	3	3	19			22	58											
03/07/2025	3	2	17			20	63											
04/07/2025	3	2	16			19	75											
05/07/2025	3	1	13			14	76											
06/07/2025	3	1	9			10	92											
07/07/2025	3	2	12			14	69											
08/07/2025	3	2	11			13	59											
09/07/2025	3	1	7			9	75											
10/07/2025	3	1	10			11	80											
11/07/2025	3	1	11			12	76											
12/07/2025	3	1	7			7	86											
13/07/2025	3	1	9			10	75											
14/07/2025	3	2	13			15	68											
15/07/2025	3	4	21			27	51											
16/07/2025	3	4	22			27	53											
17/07/2025	3	7	21			31	62											
18/07/2025	3	1	13			14	75											
