Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250048-València - Molí del Sol
	
FECHA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
25/07/2023	4	2	3	0,1	3	10	11	15	71
26/07/2023	4	1	3	0,1	4	12	9	17	69
27/07/2023	5	2	3	0,1	4	13	12	18	77
28/07/2023	6	2	3	0,1	3	9	15	14	73
29/07/2023	6	2	3	0,1	3	9	14	13	60
30/07/2023	7	3	3	0,1	3	8	15	13	57
31/07/2023	8	3	3	0,1	4	11	16	17	65
01/08/2023	9	3	3	0,1	5	14	18	21	62
02/08/2023	10	4	3	0,1	8	21	22	33	
03/08/2023	7	2	3	0,1	3	12	16	16	
04/08/2023	2	1	3	0,1	3	10	10	14	55
05/08/2023	2	1	3	0,1	3	10	7	15	64
06/08/2023	3	1	3	0,1	3	11	7	16	53
07/08/2023	4	1	3	0,1	4	11	9	16	57
08/08/2023	4	1	3	0,1	3	10	9	15	62
09/08/2023	4	2	3	0,1	5	15	9	22	53
10/08/2023	7	2	3				21		63
11/08/2023	8	3	3	0,1			16		71
12/08/2023	10	4	3	0,1			20		65
13/08/2023	6	3	3	0,1			13		71
14/08/2023	4	2	3	0,1			10		63
15/08/2023	5	2	3	0,1			12		69
16/08/2023	7	3	3	0,1			15		68
17/08/2023	9	4	3	0,1			18		57
18/08/2023	14	6	3	0,1	4	22	29	28	49
19/08/2023	14	6	3	0,1	1	13	28	14	54
20/08/2023	11	5	3	0,1	1	11	22	12	52
21/08/2023	11	5	3	0,2	5	24	24	31	41
22/08/2023	8	3	3	0,1	4	27	22	33	47
23/08/2023	9	3	4		3	28	26	32	48
24/08/2023	8	3	5	0,1	3	26	22	29	58
25/08/2023	11	4	4	0,1	4	22	26	29	66
26/08/2023	13	5	3	0,1	1	14	27	15	54
27/08/2023	4	2	3	0,1	1	12	9	13	45
28/08/2023	2	1	3	0,1	2	20	5	22	46
29/08/2023	2	1	3	0,1	2	18	5	19	51
30/08/2023	2	1	3	0,1	2	18	6	20	52
31/08/2023	3	1	3	0,1	3	17	6	20	55
01/09/2023	3	1	3	0,1	2	16	7	18	59
02/09/2023	3	1	3	0,1	1	10	6	12	66
03/09/2023	6	2	3	0,1	1	5	13	5	72
04/09/2023	11	4	3	0,1	1	8	23	8	67
05/09/2023	12	4	4	0,1	2	14	26	16	57
06/09/2023	7	3	3	0,1	2	15	14	18	54
07/09/2023	8	4	3	0,1	3	21	18	25	55
08/09/2023	8	3	3	0,1	4	27	17	33	46
09/09/2023	7	3	3		1	19	15	21	48
10/09/2023	8	4	3		1	15	16	17	53
11/09/2023	9	4	3		3	20	20	24	54
12/09/2023	9	4	3	0,2	7	23	19	33	51
13/09/2023	7	3	3	0,1	2	14	14	18	51
14/09/2023	6	2	3	0,1	3	17	12	20	53
15/09/2023	4	2	3	0,1	1	16	9	18	58
16/09/2023	6	2	3	0,1	1	11	12	12	53
17/09/2023	9	3	3	0,1	1	12	18	13	46
18/09/2023	3	1	3	0,1	1	18	8	19	44
19/09/2023	4	2	3	0,1	4	18	9	23	44
20/09/2023	3	1	3	0,1	3	17	7	21	48
21/09/2023	2	1	3	0,1	1	11	9	12	57
22/09/2023	2	1	3	0,1	2	15	5	18	53
23/09/2023	2	1	3	0,1	1	12	6	14	49
24/09/2023	3	1	3	0,1	1	13	7	14	53
25/09/2023	4	2	3	0,1	5	19	9	27	45
26/09/2023	3	2	4	0,1	2	17	8	21	48
27/09/2023	4	2	4	0,1	2	18	8	22	49
28/09/2023	4	2	4	0,1	6	22	9	31	44
29/09/2023	6	3	3	0,1	6	27	12	36	40
30/09/2023	6	3	4	0,1	3	27	12	31	35
01/10/2023	5	2	3	0,1	3	18	11	21	54
02/10/2023	5	3	3	0,1	3	20	11	24	49
03/10/2023	8	4	4	0,1			16		55
04/10/2023	9	4	3	0,1			18		46
05/10/2023	9	4	3	0,1			18		48
06/10/2023	9	4	3	0,1			19		44
07/10/2023	9	4	3	0,1			18		55
08/10/2023	9	4	3	0,1			18		47
09/10/2023	8	4	3	0,1			16		61
10/10/2023	7	3	3	0,1			13		59
11/10/2023	8	4	3	0,1			16		62
12/10/2023	10	4	3	0,1			20		
13/10/2023	8	4	3				17		48
14/10/2023	8	4	3				16		35
15/10/2023	5	2	3	0,1			11		51
16/10/2023	6	3	3	0,1			13		49
17/10/2023	8	4	3	0,1			16		48
18/10/2023	3	2	3	0,1	2	10	8	13	48
19/10/2023	1	1	3	0,1	2	12	3	15	58
20/10/2023	1	1	4	0,1	2	8	4	11	70
21/10/2023	1	1	3	0,1	2	13	3	16	53
22/10/2023	2	1	3	0,1	2	9	3	12	60
23/10/2023	2	1	3	0,1	2	12	3	15	59
24/10/2023	1	1	3	0,1	2	9	1	12	60
25/10/2023	1	1	3	0,1	2	9	1	12	60
26/10/2023	1	1	3	0,1	2	9	2	12	52
27/10/2023	1	1	3	0,1	2	11	2	14	63
28/10/2023	1	1	3	0,1	2	10	2	12	65
29/10/2023	1	1	3	0,1	2	14	2	17	61
30/10/2023	1	1	3	0,1	2	13	3	16	58
31/10/2023	2	1	3	0,1	4	26	4	32	35
01/11/2023	2	1	3	0,1	2	12	4	15	58
02/11/2023	2	1	3	0,1	2	9	20	11	74
03/11/2023	1	1	3	0,1	2	9	3	12	60
04/11/2023	1	1	3	0,1	2	9	2	11	73
05/11/2023	1	1	3	0,1	2	9	1	12	68
06/11/2023	1	1	3	0,1	2	14	2	17	53
07/11/2023	1	1	3	0,1	3	13	2	16	54
08/11/2023	2	1	3	0,1			4		
09/11/2023	1	1	3	0,1			2		
10/11/2023	1	1	3	0,1	2	11	3	14	
11/11/2023	1	1	3	0,1	1	7	2	9	
12/11/2023	1	1	3	0,1	1	10	1	12	
13/11/2023	2	1	3	0,1	7	23	3	34	28
14/11/2023	2	1	4	0,1	14	28	4	49	22
15/11/2023	2	1	3	0,1	13	32	5	52	24
16/11/2023	5	3	3	0,1	27	40	12	80	18
17/11/2023	5	2	3	0,1	13	36	11	56	18
18/11/2023	6	3	3	0,1	4	24	13	30	29
19/11/2023	7	3	3	0,1	6	24	14	32	27
20/11/2023	15	7	3	0,1	12	32	30	50	26
21/11/2023	5	3	3	0,1	4	15	15	22	38
22/11/2023	2	1	3	0,1	4	20	4	26	46
23/11/2023	4	2	3	0,1	13	34	8	54	31
24/11/2023	4	2	3	0,1	5	31	11	39	24
25/11/2023	6	3	3	0,1	11	28	13	45	23
26/11/2023	6	3	3	0,1	2	19	13	22	29
27/11/2023	6	3	3	0,1	11	19	17	35	33
28/11/2023	4	2	3	0,1	1	13	12	15	40
29/11/2023	2	1	3	0,1	1	13	4	15	45
30/11/2023	1	1	3	0,1	1	10	5	11	55
01/12/2023	3	1	3	0,1	4	15	14	21	54
02/12/2023	2	1	3	0,1	2	14	4	16	46
03/12/2023	3	2	3	0,1	5	22	7	29	30
04/12/2023	2	1	3	0,1	1	16	5	18	45
05/12/2023	3	2	3	0,1	11	32	6	49	31
06/12/2023	6	3	3	0,1	3	21	13	25	34
07/12/2023	5	2	3	0,1	10	19	10	34	34
08/12/2023	1	1	3	0,1	1	6	2	7	65
09/12/2023	1	1	3	0,1	2	15	3	17	48
10/12/2023	1	1	3	0,1	1	8	2	10	46
11/12/2023	3	2	3	0,1	23	32	7	68	25
12/12/2023	2	1	3	0,1	4	23	7	29	40
13/12/2023	1	1	3	0,1	2	19	4	21	50
14/12/2023	1	1	3	0,1	1	15	4	16	50
15/12/2023	5	2	4	0,1	29	42	10	87	24
16/12/2023	4	2	3	0,1	5	26	7	33	38
17/12/2023	5	3	3	0,1	3	20	11	24	41
18/12/2023	8	4	3	0,1	18	37	17	64	23
19/12/2023	6	3	4	0,1	27	44	14	86	19
20/12/2023	4		3	0,1	5	21	15	27	42
21/12/2023	6		4	0,1	15	38	25	61	24
22/12/2023	7		4	0,1	22	36	29	70	25
23/12/2023	8		3	0,1	7	33	22	42	25
24/12/2023	13		3	0,1	7	29	31	40	23
25/12/2023	12		4	0,1	10	28	29	44	22
26/12/2023	14		5	0,1	25	40	39	79	15
27/12/2023	16	6	5	0,1	22	44	45	77	20
28/12/2023	23	9	3	0,1	17	40	36	66	18
29/12/2023	35	15	4	0,2	35	47	44	100	8
30/12/2023	26	11	3	0,1	12	38	30	56	18
31/12/2023	10	4	3	0,1	1	12	15	13	51
