Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250048-València - Molí del Sol
	
FECHA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2023	23	16	4	0,1	7	19	28	29	26
02/01/2023	26	18	3	0,1	11	29	32	45	18
03/01/2023	32	22	3	0,1	21	30	40	61	17
04/01/2023	23	16	3	0,1	15	26	29	49	19
05/01/2023	23	16	4	0,1	14	26	30	47	24
06/01/2023	23	16	4	0,1	10	25	28	41	21
07/01/2023	18	13	4	0,1	4	11	23	18	38
08/01/2023	4	2	3	0,1	1	2	5	4	61
09/01/2023	5	3	4	0,1	7	19	6	29	42
10/01/2023	10	7	4	0,1	6	25	12	35	29
11/01/2023	10	7	4	0,1	7	22	13	32	25
12/01/2023	10	7	4	0,1	3	27	13	32	25
13/01/2023	22	15	4	0,1	29	30	28	75	17
14/01/2023	11	8	3	0,1	5	16	14	24	33
15/01/2023	9	6	3	0,1	2	7	12	10	46
16/01/2023	5	3	4	0,1	1	5	9	7	59
17/01/2023	4	2	5	0,1	1	3	11	5	73
18/01/2023	2	2	4	0,1	1	9	3	11	62
19/01/2023	3	2	4	0,1	1	7	4	9	58
20/01/2023	6	4	4	0,2	11	24	8	41	44
21/01/2023	7	4	4	0,2	8	13	9	25	48
22/01/2023	3	3	4	0,2	1	2	4	4	67
23/01/2023	11	7	4	0,2	14	25	13	46	39
24/01/2023	12	8	3	0,2	4	17	16	23	40
25/01/2023	13	9	3	0,2	9	23	16	37	36
26/01/2023	15	10	4	0,2	19	31	19	60	28
27/01/2023	12	8	5	0,2	18	34	15	61	29
28/01/2023	9	6	4	0,2	4	22	11	28	44
29/01/2023	7	5	4	0,2	1	10	9	12	48
30/01/2023	13	9	4	0,2	5	25	17	32	32
31/01/2023	18	12	4	0,2	21	35	22	68	25
01/02/2023	16	11	4	0,1	9	32	20	46	32
02/02/2023	18	12	4	0,2	10	35	22	51	31
03/02/2023	16	11	4	0,2	12	35	21	54	31
04/02/2023	12	9	4	0,2	7	38	16	49	31
05/02/2023	14	9	3	0,2	4	25	17	31	35
06/02/2023	10	7	3	0,1	3	16	13	20	44
07/02/2023	9	7	3	0,1	5	23	12	32	42
08/02/2023	6	5	3	0,1	1	10	9	12	58
09/02/2023	6	4	3	0,1	2	13	7	16	60
10/02/2023	15	10	4	0,1	12	25	19	43	31
11/02/2023	13	9	3	0,1	3	18	16	22	47
12/02/2023	14	10	3	0,2	3	17	18	21	50
13/02/2023	13	9	3	0,2	7	24	17	34	40
14/02/2023	14	9	3	0,1	5	21	17	29	51
15/02/2023	13	9	4	0,2	6	25	16	34	44
16/02/2023	17	12	4	0,1	7	27	22	37	35
17/02/2023	19	13	3	0,2	9	29	24	43	33
18/02/2023	21	14	3	0,2	5	24	26	31	43
19/02/2023	28	19	3	0,2	7	33	34	43	26
20/02/2023	25	17	4	0,2	11	39	31	56	23
21/02/2023	24	17	3	0,2	19	45	30	75	17
22/02/2023	31	22	5	0,2	19	30	39	59	28
23/02/2023	29	20	3	0,1	6	21	36	30	36
24/02/2023			3	0,2	5	19		27	45
25/02/2023			3	0,2	2	14		16	51
26/02/2023			3	0,2	1	6		7	65
28/02/2023	7	5	3	0,4	3	22	8	26	54
01/03/2023	6	4	3	0,4	2	17	8	20	58
02/03/2023	13	9	3	0,4	2	27	16	31	52
03/03/2023	15	10	3	0,5	5	29	19	37	48
04/03/2023	13	9	3	0,5	2	18	16	21	60
05/03/2023	11	8	3	0,5	2	15	14	18	62
06/03/2023	4	3	3	0,4	1	15	5	18	58
07/03/2023	4	3	3	0,5	2	8	5	11	65
08/03/2023	7	4	3	0,2	1	6	14	9	58
09/03/2023	12	7	3	0,2	1	8	25	10	57
10/03/2023	9	5	3	0,2	1	7	16	9	73
11/03/2023	13	8	3	0,2	1	5	23	7	60
12/03/2023	13	8	3	0,2	1	10	18	13	42
13/03/2023	22	12	3	0,2	13	18	47	38	40
14/03/2023	10	6	4	0,1	2	17	18	20	65
15/03/2023	19	11	4	0,1	4	21	29	28	54
16/03/2023	39	27	4	0,1	6	23	50	31	50
17/03/2023	29	19	4	0,1	2	19	37	22	53
18/03/2023	35	23	4	0,1	3	17	47	22	47
19/03/2023	22	15	4	0,1	2	17	30	20	50
20/03/2023	18	12	4	0,1	5	22	27	29	48
21/03/2023			4	0,1	8	22		34	49
22/03/2023			4	0,1	6	22		32	52
23/03/2023	19	9	4	0,1	9	27	39	41	47
24/03/2023	19	9	4	0,1	9	31	43	45	40
25/03/2023	11	5	4	0,1	2	18	22	21	62
26/03/2023	4	2	4	0,1	1	11	17	13	57
27/03/2023	2	1	4	0,1	1	14	8	16	69
28/03/2023	4	2	4	0,1	4	20	10	25	61
29/03/2023	4	2	4	0,1	9	18	9	32	53
30/03/2023	6	2	4	0,1	7	22	24	33	51
31/03/2023	4	1	4	0,1	1	5	23	7	76
01/04/2023	4	1	4	0,1	1	8	17	10	73
02/04/2023	2	1	4	0,1	1	4	11	6	80
03/04/2023	2	1	4	0,1	3	16	7	21	65
04/04/2023	3	1	4	0,1	5	20	7	28	56
05/04/2023	4	2	4	0,1	2	18	9	21	56
06/04/2023	4	2	4	0,1	3	15	10	20	62
07/04/2023	4	2	3	0,1	1	9	9	11	71
08/04/2023	4	2	3	0,1	1	9	9	11	72
09/04/2023	6	3	3	0,1	1	6	12	9	73
10/04/2023	13	6	3	0,1	1	8	27	10	62
11/04/2023	16	7	3	0,1	2	14	32	17	68
12/04/2023	7	2	3	0,2	1	9	28	12	63
13/04/2023	2	1	3	0,1	1	11	6	13	69
14/04/2023	2	1	3	0,2	3	11	12	16	58
15/04/2023	3	1	3	0,2	1	4	14	6	70
16/04/2023	2	1	3	0,2	1	6	5	8	77
17/04/2023	2	1	3	0,1	1	8	5	10	76
18/04/2023	5	2	3	0,1	1	11	10	14	76
19/04/2023	5	2	3	0,2	3	18	11	22	65
20/04/2023	5	2	3	0,2	8	21	14	34	65
21/04/2023	7	3	3	0,1	6	17	15	26	74
22/04/2023	11	5	3	0,1	1	14	22	17	75
23/04/2023	10	5	3	0,1	1	12	20	14	67
24/04/2023	8	4	3	0,1	4	14	16	20	58
25/04/2023	5	2	3	0,1	7	20	13	30	62
26/04/2023	13	6	3	0,1	2	11	26	14	77
27/04/2023	14	6	3	0,1	6	17	27	27	50
28/04/2023	11	5	3	0,1	6	18	22	27	47
29/04/2023	8	4	3	0,1	4	16	17	21	54
30/04/2023	5	2	3	0,1	2	7	10	10	63
01/05/2023	6	3	3	0,1	2	8	13	11	64
02/05/2023	4	2	3	0,2	5	13	10	21	58
03/05/2023	3	2	3	0,1	3	18	9	22	60
04/05/2023	4	2	3	0,1	4	16	8	22	68
05/05/2023	10	5	3	0,1	3	12	21	17	74
06/05/2023	8	4	3	0,1	1	11	16	13	67
07/05/2023	6	3	3	0,1	1	8	11	11	64
08/05/2023	9	4	3	0,1	4	15	18	21	58
09/05/2023	6	3	3	0,1	4	16	15	22	67
10/05/2023	4	2	3	0,1	2	10	9	14	63
11/05/2023	2	1	3	0,1	1	10	4	12	74
12/05/2023	2	1	3	0,1	1	9	5	12	66
13/05/2023	2	1	3	0,1	1	5	4	7	64
14/05/2023	2	1	3	0,2	1	4	5	7	69
15/05/2023	5	2	3	0,2	1	10	11	12	76
16/05/2023	2	1	3	0,2	1	8	6	10	78
17/05/2023	3	1	3	0,1	1	9	9	12	76
18/05/2023	3	2	3	0,1	1	8	7	10	75
19/05/2023	4	2	3	0,1	1	12	10	14	72
20/05/2023	4	2	3	0,1	1	12	10	14	73
21/05/2023	4	2	3	0,1	1	7	8	9	85
22/05/2023	5	2	3	0,1	1	7	10	9	84
23/05/2023	5	2	3	0,1	1	13	11	15	68
24/05/2023	8	4	3	0,1	3	14	17	19	58
25/05/2023	8	4	3	0,1	5	16	17	23	57
26/05/2023	7	3	3	0,1	3	9	14	15	63
27/05/2023	8	4	3	0,1	1	9	17	11	56
28/05/2023	5	3	3	0,1	1	7	11	10	65
29/05/2023	4	2	3	0,1	2	13	9	17	61
30/05/2023	4	2	3	0,2	2	13	8	16	58
31/05/2023	4	2	3	0,1	2	15	8	18	65
01/06/2023	7	3	3	0,1	2	9	14	13	81
02/06/2023	6	3	3	0,1	2	11	12	14	76
03/06/2023	4	2	3	0,1	1	10	9	12	65
04/06/2023	3	2	3	0,1	1	7	6	9	66
05/06/2023	2	1	3	0,1	2	11	4	14	64
06/06/2023	1	1	3	0,1	3	13	3	18	61
07/06/2023	1	1	3	0,1	2	12	2	15	52
08/06/2023	1	1	3	0,1	3	13	2	17	51
09/06/2023	1	1	3	0,2	2	7	2	11	58
10/06/2023			4	0,1	1	11		13	64
11/06/2023			3	0,1	1	8		10	61
12/06/2023			3	0,1	2	10		13	57
13/06/2023			3	0,1	2	12		16	60
14/06/2023			3	0,2	3	15		19	58
15/06/2023			4	0,1	3	16		20	70
16/06/2023			3	0,1	2	13		16	82
17/06/2023			3	0,1	2	11		13	84
18/06/2023			3	0,1	2	8		11	91
19/06/2023			3	0,1	3	12		17	80
20/06/2023			3	0,1	3	15		18	73
21/06/2023			3	0,1	2	7		9	70
22/06/2023			3	0,1	2	12		15	76
23/06/2023	2		3	0,1	2	12	3	15	69
24/06/2023	2		3	0,1	1	7	4	9	70
25/06/2023	3		3	0,2	1	8	6	11	70
26/06/2023	3		3	0,1	1	9	6	11	82
27/06/2023	3		3	0,1	1	11	7	13	69
28/06/2023	3		3	0,1	1	10	7	12	68
29/06/2023	3		3	0,1	2	10	7	13	69
30/06/2023	2		3	0,1	1	8	4	10	66
01/07/2023	2		3	0,1	1	7	4	9	62
02/07/2023			3	0,1	1	6		9	60
03/07/2023			3	0,1	1	8		11	54
04/07/2023			3	0,1	3	8		14	46
05/07/2023			3	0,1	4	7		12	46
06/07/2023	5	3	3	0,1	2	7	11	10	50
07/07/2023	5	2	3	0,1	2	8	10	10	52
08/07/2023	6	3	3	0,1	2	8	13	11	58
09/07/2023	9	4	3	0,1	2	5	17	7	60
10/07/2023	9	4	3	0,1	2	6	17	9	52
11/07/2023	12	5	3	0,1	3	11	24	15	46
12/07/2023	9	4	3	0,1	2	7	18	11	46
13/07/2023	5	3	3	0,1	2	8	10	12	49
14/07/2023	2	1	3	0,2	3	11	4	16	56
15/07/2023	2	1	3	0,2	3	10	4	14	62
16/07/2023			3	0,2	3	7		11	62
17/07/2023			3	0,2	3	7		12	55
18/07/2023			3	0,2	5	14		21	48
19/07/2023			3	0,2	4	15		20	50
20/07/2023	13	5	3	0,1	3	12	28	16	64
21/07/2023	13	5	3	0,1	4	14	29	21	55
22/07/2023	9	3	3	0,1	3	8	19	12	68
23/07/2023	10	3	3	0,1	3	9	22	13	58
24/07/2023	11	4	3	0,1	5	19	27	27	56
