Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250046-València - Politècnic
	
FECHA	PM2.5	SO2	NO	NO2	PM10	NOx	O3
02/07/2023	9	3	2	6	11	8	67
03/07/2023	9	3	1	5	13	6	56
04/07/2023	7	3	1	6	9	7	48
05/07/2023	7	3	1	4	9	5	51
06/07/2023	7	3	1	4	9	4	55
07/07/2023	7	3	1	5	8	6	61
08/07/2023	9	3	1	4	11	5	71
09/07/2023	11	3	1	3	13	4	76
10/07/2023	11	3	1	4	14	5	59
11/07/2023	15	3	1	4	18	5	52
12/07/2023		3	1	3		3	51
13/07/2023		3	1	2		2	49
14/07/2023		3	2	6		8	51
15/07/2023		3	1	2		2	63
16/07/2023		3	1	3		3	60
17/07/2023		3	1	3		3	52
18/07/2023	12	3	1	4	14	4	52
19/07/2023	14	3	2	6	17	7	
20/07/2023	11	3	1	5	14	5	64
21/07/2023	11	3	1	5	14	5	56
22/07/2023	8	3	1	3	11	3	63
23/07/2023		3	1	3		3	50
24/07/2023		3	2	11		13	51
25/07/2023	6	3	1	5	9	5	51
26/07/2023	5	3	1	5	8	5	51
27/07/2023	7	3	1	5	10	5	54
28/07/2023	6	3	1	3	8	3	58
29/07/2023	6	3	1	4	8	4	54
30/07/2023	7	3	1	4	9	4	54
31/07/2023	8	3	1	5	11	5	50
01/08/2023	10	3	1	4	12	5	50
02/08/2023	10	3	1	10	14	11	59
03/08/2023	8	3	1	4	12	4	52
04/08/2023	4	3	1	4	8	4	51
05/08/2023	4	3	1	4	7	4	59
06/08/2023	5	3	1	4	8	4	51
07/08/2023	6	3	1	5	9	5	56
08/08/2023	6	3	1	4	9	5	57
09/08/2023	5	3	1	5	7	6	50
10/08/2023	8	3	2	10	12	11	49
11/08/2023	7	3	1	3	9	3	72
12/08/2023	10	3	1	6	12	8	61
13/08/2023	8	3	1	4	9	6	65
14/08/2023	6	3	1	4	8	6	58
15/08/2023	7	3	1	4	9	5	65
16/08/2023	11	3	1	5	14	6	65
17/08/2023	11	3	1	5	13	6	60
18/08/2023	14	3	2	8	16	10	47
19/08/2023	13	3	1	4	14	6	50
20/08/2023	11	3	1	4	13	5	47
21/08/2023	13	3	2	9	15	12	42
22/08/2023		3	1	8		10	53
23/08/2023	8	3	2	17	19	20	44
24/08/2023	10	3	3	20	22	24	45
25/08/2023	9	3	2	13	14	16	57
26/08/2023	9	3	1	5	11	7	50
27/08/2023	4	3	1	6	7	8	40
28/08/2023	2	3	1	5	5	7	49
29/08/2023	3	3	1	6	6	8	49
30/08/2023	3	3	1	6	6	8	49
31/08/2023	3	3	2	8	6	11	53
01/09/2023	3	3	1	6	5	8	57
02/09/2023	3	3	1	4	4	6	64
03/09/2023	5	3	1	4	6	6	68
04/09/2023	7	3	1	4	9	6	65
05/09/2023	6	3	1	5	9	7	58
06/09/2023	4	3	1	5	6	7	57
07/09/2023	6	3	1	6	7	8	59
08/09/2023	5	3	4	12	7	18	51
09/09/2023	4	3	1	6	5	8	53
10/09/2023	5	3	1	4	6	6	55
11/09/2023	6	3	2	9	8	11	54
12/09/2023	7	3	2	9	9	11	51
13/09/2023	5	3	2	8	7	12	46
14/09/2023	5	3	1	5	9	7	60
15/09/2023	4	3	1	6	6	8	53
16/09/2023	6	3	1	6	11	8	49
17/09/2023	8	3	1	5	15	6	48
18/09/2023	4	4	1	11	12	13	44
19/09/2023	5	3	4	13	15	20	39
20/09/2023	4	3	2	12	11	15	45
21/09/2023	4	3	1	6	14	7	51
22/09/2023	3	3	1	7	8	8	50
23/09/2023	3	3	2	11	8	13	39
24/09/2023	3	3	1	8	7	9	47
25/09/2023	4	3	3	8	7	12	46
26/09/2023	4	3	2	8	9	11	47
27/09/2023	5	3	2	9	10	12	48
28/09/2023	5	3	4	11	10	17	47
29/09/2023	6	3	3	10	8	14	49
30/09/2023	6	3	2	24	13	27	32
01/10/2023	5	3	1	9	12	11	54
02/10/2023	6	3	2	10	15	12	51
03/10/2023	8	3	3	10	13	14	46
04/10/2023	8	3	2	10	12	12	48
05/10/2023	9	3	4	11	15	17	43
06/10/2023	13	3	6	17	20	26	36
07/10/2023	11	3	1	8	15	10	42
08/10/2023	12	3	1	7	17	9	39
09/10/2023	9	3	1	8	13	9	42
10/10/2023	6	3	2	11	11	14	44
11/10/2023	5	3	2	13	8	16	43
12/10/2023	5	3	1	8	8	10	48
13/10/2023	5	3	2	12	9	15	42
14/10/2023	5	4	1	12	11	13	32
15/10/2023	3	3	1	5	6	6	52
16/10/2023	4	4	3	16	8	20	41
17/10/2023	5	3	4	10	8	15	52
18/10/2023	3	4	1	5	10	7	44
19/10/2023	4	4	1	10	13	12	52
20/10/2023	2	3	1	5	9	6	57
21/10/2023	2	3	1	9	7	10	44
22/10/2023	2	3	1	8	6	9	48
23/10/2023	2	3	1	12	6	14	46
24/10/2023	1	3	1	7	3	8	47
25/10/2023	1	3	1	5	4	7	47
26/10/2023	1				4		
27/10/2023	1	3	1	8	3	10	48
28/10/2023	1	3	1	6	2	7	49
29/10/2023	1	3	2	15	3	17	40
30/10/2023	1	3	2	9	3	11	44
31/10/2023	2	3	3	18	5	22	28
01/11/2023	2	3	1	8	4	9	42
02/11/2023	2	3	1	4	13	5	60
03/11/2023	1	4	1	5	4	7	57
04/11/2023	1	3	1	4	3	5	66
05/11/2023	2	3	1	5	2	6	62
06/11/2023	1	4	1	7	4	10	51
07/11/2023	1	4	2	9	4	12	49
08/11/2023	2	4	3	16	5	20	40
09/11/2023	2	3	1	13	7	15	47
10/11/2023	1	3	1	5	4	6	54
11/11/2023	1	3	1	3	3	4	48
12/11/2023	1	3	1	5	2	6	51
13/11/2023	1	4	3	16	3	20	29
14/11/2023	2	4	10	18	4	34	23
15/11/2023	2	4	10	28	3	44	18
16/11/2023	2	4	27	29	4	70	18
17/11/2023		4	11	24		41	16
18/11/2023		4	5	17		24	24
19/11/2023		4	5	12		19	30
20/11/2023		4	5	20		28	31
21/11/2023	2	4	2	8	10	12	39
22/11/2023	2	3	2	9	11	12	48
23/11/2023	4	3	11	26	30	43	28
24/11/2023	3	3	4	22	20	27	24
25/11/2023	4	3	5	16	12	23	26
26/11/2023	5	3	3	11	9	15	27
27/11/2023	5	3	18	15	21	42	28
28/11/2023	3	3	1	6	11	8	36
29/11/2023	2	3	1	10	6	12	36
30/11/2023	2	3	1	8	8	9	48
01/12/2023	2	3	2	8	13	11	51
02/12/2023	1	3	1	6	4	7	47
03/12/2023	2	3	1	9	5	10	36
04/12/2023	2	3	2	10	4	13	41
05/12/2023	2	3	3	14	7	19	37
06/12/2023	3	3	1	11	4	13	35
07/12/2023	3	3	13	13	5	33	29
08/12/2023	1	3	1	3	2	5	60
09/12/2023	1	3	1	5	3	6	46
10/12/2023	1	3	1	3	2	5	40
11/12/2023	2	3	7	17	8	28	24
12/12/2023	2	3	1	9	8	11	41
13/12/2023	2	3	1	11	6	12	42
14/12/2023	2	3	1	6	7	8	47
15/12/2023	3	3	16	31	14	56	19
16/12/2023	3	3	5	15	6	22	32
17/12/2023	3	3	2	11	5	14	33
18/12/2023	4	3	13	21	9	40	23
19/12/2023	4	3	15	32	21	55	16
20/12/2023	3	3	3	13	13	18	35
21/12/2023	2	3	5	22	10	29	28
22/12/2023	2	3	11	27	14	44	23
23/12/2023	3	3	3	20	6	25	26
24/12/2023	4	3	2	14	7	17	25
25/12/2023	4	3	5	18	6	26	20
26/12/2023	5	3	22	25	11	58	18
27/12/2023	6	3	8	27	13	40	19
28/12/2023	8	3	32	30	17	79	17
29/12/2023	13	3	18	30	22	58	8
30/12/2023	11	3	11	29	19	46	11
31/12/2023	4	3	1	5	9	6	47
