Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250046-València - Politècnic
	
FECHA	PM2.5	SO2	NO	NO2	PM10	NOx	O3
	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2023	17	4			20		25
02/01/2023	20	3			25		20
03/01/2023	25	6			30		19
04/01/2023	21	5			25		16
05/01/2023	21	4			25		17
06/01/2023	14	3			15		26
10/01/2023	10	3			18		18
11/01/2023	11	3			17		15
12/01/2023	9	3	3	23	15	27	25
13/01/2023	15	3	13	29	25	49	14
14/01/2023	11	3	3	22	14	27	25
15/01/2023	8	3	2	12	13	14	35
16/01/2023	6	3	2	11	17	13	
17/01/2023	5	3	2	7	19	9	
18/01/2023	3	3	1	6	6	7	59
19/01/2023	4	3	1	7	8	8	56
20/01/2023	6	3	1	11	13	12	53
21/01/2023	6	3	2	8	11	10	56
22/01/2023	4	3	1	3	6	4	66
23/01/2023	8	3	4	14	14	20	45
24/01/2023	11	3	1	13	16	14	41
25/01/2023	12	3	4	21	21	27	36
26/01/2023	12	3	8	20	19	32	35
27/01/2023	10	3	5	20	16	28	40
28/01/2023	7	3	1	10	10	13	54
29/01/2023	9	3	1	9	12	10	49
30/01/2023	14	3	4	22	18	27	37
31/01/2023	17	3	11	29	24	45	34
01/02/2023	20	3	8	31	27	43	36
02/02/2023	22	3	7	32	29	43	36
03/02/2023	23	3	15	51	32	75	21
04/02/2023	13	3	13	36	21	56	36
05/02/2023	16	3	3	33	20	38	36
06/02/2023	12	3	1	19	16	21	48
07/02/2023	12	3	1	15	18	16	54
08/02/2023	9	3	1	17	11	19	57
09/02/2023	9	3	1	11	14	13	67
10/02/2023	15	3	11	29	19	46	36
11/02/2023	16	3	2	16	18	18	56
12/02/2023	18	3	2	18	21	21	60
13/02/2023	20	3	6	26	24	35	45
14/02/2023	19	3	2	19	22	22	61
15/02/2023	15	3	1	23	18	26	57
16/02/2023	25	3	4	26	28	33	47
17/02/2023	29	3	6	30	34	40	39
18/02/2023	23	3	7	34	28	44	39
19/02/2023	34	3	8	41	39	53	32
20/02/2023	38	3	11	46	45	63	29
21/02/2023	34	3	19	55	45	84	21
22/02/2023	40	3	10	40	47	56	39
23/02/2023	41	3	6	34	49	43	41
24/02/2023	6	3	3	17	10	21	49
25/02/2023	9	3	2	13	12	17	54
26/02/2023	5	3	1	4	10	5	67
27/02/2023	6	3	1	3	10	5	70
28/02/2023	9	3	2	13	18	15	61
01/03/2023	9	3	1	15	15	16	62
02/03/2023	16	3	3	22	20	26	63
03/03/2023	15	3	2	25	21	28	58
04/03/2023	18	3	1	18	21	21	66
05/03/2023	17	3	2	24	20	28	65
06/03/2023	6	3	1	23	8	24	59
07/03/2023	5	3	1	19	10	21	63
08/03/2023	4	3	1	17	8	19	53
09/03/2023	6	3	1	19	11	21	52
10/03/2023	7	5			11		69
11/03/2023	7	4	1	1	11	2	58
12/03/2023	6	5			9		40
13/03/2023	10	6	10	24	20	40	35
14/03/2023	5	4	2	15	13	18	68
15/03/2023	9	5	5	21	15	28	57
16/03/2023	14	5	4	16	18	22	63
17/03/2023	12	5	1	14	15	16	66
18/03/2023	20	5	2	17	25	19	54
19/03/2023	15	5	1	15	20	17	56
20/03/2023	13	5	3	22	19	26	46
21/03/2023	18	6	3	16	22	21	61
22/03/2023	27	5	5	16	31	23	65
23/03/2023	31	5	6	20	36	29	60
24/03/2023	26	6	2	21	36	24	55
25/03/2023	18	5	1	16	22	18	66
26/03/2023	7	4	1	10	18	11	58
27/03/2023	6	4	1	12	15	13	70
28/03/2023	12	4	4	16	20	22	61
29/03/2023	9	4	6	14	14	22	62
30/03/2023	12	5	8	19	28	31	57
31/03/2023	8	4	1	8	29	9	72
01/04/2023	10	4	1	8	25	9	74
02/04/2023	3	4	1	8	13	9	77
03/04/2023	5	4	1	12	11	14	71
04/04/2023	8	3	5	16	16	23	60
06/04/2023	9	3	2	13	15	17	72
07/04/2023	9	3	1	8	15	9	77
08/04/2023	10	3	1	11	15	12	79
09/04/2023	10	3	1	8	12	9	83
10/04/2023	20	3	1	8	22	9	71
11/04/2023	21	3	1	10	25	12	74
12/04/2023	11	3	2	11	28	14	66
13/04/2023	7	3	1	12	12	13	67
14/04/2023	5	3	1	11	13	12	61
15/04/2023	6	3	1	8	13	9	73
16/04/2023	5	3	1	9	9	10	74
17/04/2023	7	3	1	9	10	10	79
18/04/2023	7	3	1	8	10	9	92
19/04/2023	9	3	2	11	11	13	80
20/04/2023	9	3	2	13	15	15	83
21/04/2023	12	3	1	8	16	9	94
22/04/2023	17	3	1	9	20	10	88
23/04/2023	15	3	1	9	17	10	80
24/04/2023	12	4	2	12	16	14	68
25/04/2023	12	3	5	18	19	26	66
26/04/2023	15	3	1	9	17	10	79
27/04/2023	16	3	1	10	18	11	61
28/04/2023	14	3	3	13	16	17	56
29/04/2023	11	3	1	11	14	13	59
30/04/2023	8	3	1	8	11	9	68
01/05/2023	10	4	1	9	12	10	66
02/05/2023	7	4	1	10	11	12	61
03/05/2023	9	4	2	12	14	15	66
04/05/2023	8	4	2	12	11	14	74
05/05/2023	16	4	1	9	19	10	83
06/05/2023	13	4	1	8	16	9	73
07/05/2023	8	4	1	7	10	9	69
08/05/2023	13	4	2	12	16	14	64
09/05/2023	12	4	3	16	17	21	65
10/05/2023	8	4	1	10	12	11	65
11/05/2023	6	4	1	9	9	10	74
12/05/2023	4	4	1	8	6	10	66
13/05/2023	4	3	1	7	5	8	66
14/05/2023	4	3	1	9	5	11	67
15/05/2023	9	4	1	13	13	15	78
16/05/2023	5	3	1	9	9	10	81
17/05/2023	7	4	1	9	11	11	75
18/05/2023	8	4	1	6	12	7	80
19/05/2023	8	4	1	7	11	9	79
20/05/2023	9	3	1	7	12	9	77
21/05/2023	9	3	1	4	10	5	93
22/05/2023	11	3	1	5	13	6	85
23/05/2023	13	4	1	10	16	12	71
24/05/2023	16	4	2	8	18	10	73
25/05/2023	15	4	4	11	18	17	63
26/05/2023	12	4	1	6	14	7	68
27/05/2023	19	4	1	6	22	8	58
28/05/2023	12	4	1	8	14	10	68
29/05/2023	13	4	1	11	14	12	67
30/05/2023	11	4	2	14	13	17	62
31/05/2023	12	4	3	15	15	19	65
01/06/2023	18	4	1	7	20	9	86
02/06/2023	15	4	1	6	17	7	87
03/06/2023	13	4	1	5	14	6	79
04/06/2023	9	4	1	5	11	7	75
05/06/2023	9	4	1	8	10	10	71
06/06/2023	7	4	1	6	9	8	70
07/06/2023	8	5	1	11	10	12	52
08/06/2023	10	5	2	13	13	16	55
09/06/2023	7	5	2	13	10	16	54
10/06/2023	7	5	2	7	9	9	66
11/06/2023	10	5	1	6	12	8	60
12/06/2023	9	5	2	8	11	10	56
13/06/2023	9	5	1	9	12	11	66
14/06/2023	6	6	2	19	8	23	58
15/06/2023	10	5	2	13	13	15	79
16/06/2023	11	5	1	9	13	11	86
17/06/2023	13	5	1	9	16	11	88
18/06/2023	12	5	1	6	14	7	102
19/06/2023	14	5	2	13	18	15	88
20/06/2023	17	4	2	12	22	14	82
21/06/2023	15	3	1	5	19	6	76
22/06/2023	6	3	1	8	9	10	84
23/06/2023	7	3	1	10	9	11	69
24/06/2023	8	3	1	6	11	7	71
25/06/2023	10	3	1	5	13	6	78
26/06/2023	8	3	1	4	11	5	86
27/06/2023	9	3	1	6	11	7	76
28/06/2023	10	3	1	5	12	6	80
29/06/2023	11	3	1	5	13	6	75
30/06/2023	8	3	1	5	10	6	63
01/07/2023	9	3	1	6	12	8	62
