Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250301-València Port Moll Trans. Ponent
	
FECHA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.máx.
	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s
15/12/2023	10	1,7	187	12,9	55	1033	110	0	3	0,3	32	38	25	87	20	2,4
16/12/2023	5	1,3	281	12	60	1036	110	0	1	0,2	5	21	11	29	41	2
17/12/2023	7	1,5	289	11	68	1038	107	0	2	0,1	2	15	11	18	45	2,4
18/12/2023	11	1,5	235	10	64	1036	111	0	2	0,2	25	34	22	73	23	2,2
19/12/2023	14	1,8	193	10,7	51	1029	110	0	2	0,2	40	45	33	107	11	2,4
20/12/2023	7	2,1	247	13,3	45	1023	46	0	1	0,1	14	29	22	49	28	3,2
21/12/2023	6	2,1	208	13,2	48	1024	109	0	2	0,1	21	35	18	66	19	3
22/12/2023	7	1,8	199	14,3	52	1023	109	0	3	0,1	34	40	20	92	14	2,7
23/12/2023	6	1,2	193	12,2	60	1025	109	0	1	0,1	6	28	12	37	26	1,8
24/12/2023	12	1,2	237	10,5	67	1024	108	0	1	0,1	6	24	17	33	24	1,7
25/12/2023	13	1,2	210	10	64	1022	111	0	1	0,2	13	29	19	48	18	1,7
26/12/2023	15	1,2	200	10,1	60	1022	111	0	1	0,2	36	42	28	98	9	1,6
27/12/2023	15	1,4	195	9,8	64	1024	110	0	2	0,4	21	41	25	73	14	2
28/12/2023	21	1,1	255	9,5	65	1025	76	0	3	0,4	34	42	37	94	13	1,6
29/12/2023	35	0,9	275	10,8	69	1022	38	0	2	0,5	21	48	49	80	5	1,5
30/12/2023	31	1	199	11,5	61	1020	105	0	1	0,4	22	47	43	80	11	1,6
31/12/2023	12	3,6	217	13,2	55	1017	35	0	1	0,1	2	17	20	20	40	5,6
