Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250055-València Olivereta
	
FECHA	PM2.5	NO	NO2	PM10	NOx
	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2023	18	21	40	30	72
02/01/2023	23	36	48	43	103
03/01/2023	28	52	49	47	129
04/01/2023	19	43	46	35	112
05/01/2023	20	42	46	35	110
06/01/2023	19	33	45	29	95
07/01/2023	14	21	30	25	63
08/01/2023	3	3	12	13	18
09/01/2023	6	27	42	21	83
10/01/2023	10	38	51	25	108
11/01/2023	9	33	43	24	94
12/01/2023	11	30	50	31	96
13/01/2023	16	75	58	42	174
14/01/2023	9	14	31	19	52
15/01/2023	7	5	15	22	22
16/01/2023	7	5	14	39	23
17/01/2023	6	6	17	43	25
18/01/2023	3	10	30	9	45
19/01/2023	3	9	25	11	39
20/01/2023	7	48	52	21	125
21/01/2023	6	22	32	18	65
22/01/2023	3	4	14	7	19
23/01/2023	10	42	53	26	118
24/01/2023	10	21	39	20	71
25/01/2023	14	35	49	33	101
26/01/2023	12	49	56	29	130
27/01/2023	10	44	59	26	127
28/01/2023	9	21	44	19	77
29/01/2023	7	7	26	12	36
30/01/2023	13	28	46	26	88
31/01/2023	18	59	61	37	151
01/02/2023	20	47	60	38	132
02/02/2023	23	42	62	43	126
03/02/2023	19	53	65	41	145
04/02/2023	15	47	71	35	143
05/02/2023	16	19	46	29	75
06/02/2023	11	26	41	24	80
07/02/2023	11	28	46	24	89
08/02/2023	7	16	37	11	62
09/02/2023	8	17	42	16	68
10/02/2023	18	55	56	32	140
11/02/2023	15	25	46	24	84
12/02/2023	17	17	43	24	68
15/02/2023	16	42	59	29	124
16/02/2023	23	42	59	37	123
17/02/2023	25	38	59	40	117
18/02/2023	23	25	56	35	94
19/02/2023	27	23	55	40	91
20/02/2023	34	54	75	56	157
21/02/2023	30	57	78	59	166
22/02/2023	42	57	60	67	147
23/02/2023	40	29	49	74	94
24/02/2023	8	27	51	21	91
25/02/2023	8	9	35	19	49
26/02/2023	5	5	21	20	28
27/02/2023	5	9	22	17	35
28/02/2023	7	16	45	20	70
01/03/2023	9	13	39	22	59
02/03/2023	16	22	54	31	87
03/03/2023	17	29	58	35	102
04/03/2023	19	10	42	29	57
05/03/2023	16	9	34	28	47
06/03/2023	6	15	39	14	61
07/03/2023	5	8	30	16	43
08/03/2023	4	7	19	14	29
09/03/2023	6	8	22	18	34
10/03/2023	7	9	28	20	42
11/03/2023	7	4	15	19	21
12/03/2023	6	6	23	13	32
13/03/2023	10	28	36	35	78
